Study_Period,Serotype,Vaccine_Status,Cases,Total_Cases
Early (May 2010-May 2014),19A,No PCV doses,8,100
Early (May 2010-May 2014),19A,1-2 PCV13 doses,34,353
Early (May 2010-May 2014),19A,3+ PCV13 doses,16,708
Early (May 2010-May 2014),3,No PCV doses,2,100
Early (May 2010-May 2014),3,1-2 PCV13 doses,11,353
Early (May 2010-May 2014),3,3+ PCV13 doses,16,708
Early (May 2010-May 2014),7F,No PCV doses,4,100
Early (May 2010-May 2014),7F,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),7F,3+ PCV13 doses,1,708
Early (May 2010-May 2014),19F,No PCV doses,1,100
Early (May 2010-May 2014),19F,1-2 PCV13 doses,2,353
Early (May 2010-May 2014),19F,3+ PCV13 doses,1,708
Early (May 2010-May 2014),14,No PCV doses,1,100
Early (May 2010-May 2014),14,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),14,3+ PCV13 doses,0,708
Early (May 2010-May 2014),9V,No PCV doses,0,100
Early (May 2010-May 2014),9V,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),9V,3+ PCV13 doses,1,708
Early (May 2010-May 2014),18C,No PCV doses,0,100
Early (May 2010-May 2014),18C,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),18C,3+ PCV13 doses,0,708
Early (May 2010-May 2014),23F,No PCV doses,0,100
Early (May 2010-May 2014),23F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),23F,3+ PCV13 doses,1,708
Early (May 2010-May 2014),6B,No PCV doses,0,100
Early (May 2010-May 2014),6B,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),6B,3+ PCV13 doses,0,708
Early (May 2010-May 2014),6C,No PCV doses,1,100
Early (May 2010-May 2014),6C,1-2 PCV13 doses,2,353
Early (May 2010-May 2014),6C,3+ PCV13 doses,1,708
Early (May 2010-May 2014),22F,No PCV doses,3,100
Early (May 2010-May 2014),22F,1-2 PCV13 doses,28,353
Early (May 2010-May 2014),22F,3+ PCV13 doses,39,708
Early (May 2010-May 2014),33F,No PCV doses,6,100
Early (May 2010-May 2014),33F,1-2 PCV13 doses,19,353
Early (May 2010-May 2014),33F,3+ PCV13 doses,34,708
Early (May 2010-May 2014),15C,No PCV doses,0,100
Early (May 2010-May 2014),15C,1-2 PCV13 doses,12,353
Early (May 2010-May 2014),15C,3+ PCV13 doses,25,708
Early (May 2010-May 2014),35B,No PCV doses,1,100
Early (May 2010-May 2014),35B,1-2 PCV13 doses,14,353
Early (May 2010-May 2014),35B,3+ PCV13 doses,22,708
Early (May 2010-May 2014),15B,No PCV doses,1,100
Early (May 2010-May 2014),15B,1-2 PCV13 doses,14,353
Early (May 2010-May 2014),15B,3+ PCV13 doses,18,708
Early (May 2010-May 2014),38,No PCV doses,1,100
Early (May 2010-May 2014),38,1-2 PCV13 doses,13,353
Early (May 2010-May 2014),38,3+ PCV13 doses,14,708
Early (May 2010-May 2014),23B,No PCV doses,3,100
Early (May 2010-May 2014),23B,1-2 PCV13 doses,14,353
Early (May 2010-May 2014),23B,3+ PCV13 doses,7,708
Early (May 2010-May 2014),10A,No PCV doses,2,100
Early (May 2010-May 2014),10A,1-2 PCV13 doses,8,353
Early (May 2010-May 2014),10A,3+ PCV13 doses,13,708
Early (May 2010-May 2014),12F,No PCV doses,2,100
Early (May 2010-May 2014),12F,1-2 PCV13 doses,8,353
Early (May 2010-May 2014),12F,3+ PCV13 doses,8,708
Early (May 2010-May 2014),23A,No PCV doses,1,100
Early (May 2010-May 2014),23A,1-2 PCV13 doses,6,353
Early (May 2010-May 2014),23A,3+ PCV13 doses,6,708
Early (May 2010-May 2014),15A,No PCV doses,0,100
Early (May 2010-May 2014),15A,1-2 PCV13 doses,7,353
Early (May 2010-May 2014),15A,3+ PCV13 doses,6,708
Early (May 2010-May 2014),21,No PCV doses,0,100
Early (May 2010-May 2014),21,1-2 PCV13 doses,5,353
Early (May 2010-May 2014),21,3+ PCV13 doses,6,708
Early (May 2010-May 2014),11A,No PCV doses,0,100
Early (May 2010-May 2014),11A,1-2 PCV13 doses,3,353
Early (May 2010-May 2014),11A,3+ PCV13 doses,6,708
Early (May 2010-May 2014),35F,No PCV doses,0,100
Early (May 2010-May 2014),35F,1-2 PCV13 doses,3,353
Early (May 2010-May 2014),35F,3+ PCV13 doses,5,708
Early (May 2010-May 2014),8,No PCV doses,1,100
Early (May 2010-May 2014),8,1-2 PCV13 doses,4,353
Early (May 2010-May 2014),8,3+ PCV13 doses,3,708
Early (May 2010-May 2014),9N,No PCV doses,0,100
Early (May 2010-May 2014),9N,1-2 PCV13 doses,7,353
Early (May 2010-May 2014),9N,3+ PCV13 doses,1,708
Early (May 2010-May 2014),16F,No PCV doses,0,100
Early (May 2010-May 2014),16F,1-2 PCV13 doses,2,353
Early (May 2010-May 2014),16F,3+ PCV13 doses,3,708
Early (May 2010-May 2014),15B/C,No PCV doses,0,100
Early (May 2010-May 2014),15B/C,1-2 PCV13 doses,3,353
Early (May 2010-May 2014),15B/C,3+ PCV13 doses,0,708
Early (May 2010-May 2014),7C,No PCV doses,0,100
Early (May 2010-May 2014),7C,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),7C,3+ PCV13 doses,2,708
Early (May 2010-May 2014),31,No PCV doses,0,100
Early (May 2010-May 2014),31,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),31,3+ PCV13 doses,2,708
Early (May 2010-May 2014),20,No PCV doses,0,100
Early (May 2010-May 2014),20,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),20,3+ PCV13 doses,3,708
Early (May 2010-May 2014),17F,No PCV doses,0,100
Early (May 2010-May 2014),17F,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),17F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),28A,No PCV doses,0,100
Early (May 2010-May 2014),28A,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),28A,3+ PCV13 doses,1,708
Early (May 2010-May 2014),34,No PCV doses,0,100
Early (May 2010-May 2014),34,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),34,3+ PCV13 doses,1,708
Early (May 2010-May 2014),11B,No PCV doses,0,100
Early (May 2010-May 2014),11B,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),11B,3+ PCV13 doses,0,708
Early (May 2010-May 2014),10F,No PCV doses,0,100
Early (May 2010-May 2014),10F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),10F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),33A,No PCV doses,0,100
Early (May 2010-May 2014),33A,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),33A,3+ PCV13 doses,0,708
Early (May 2010-May 2014),15F,No PCV doses,0,100
Early (May 2010-May 2014),15F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),15F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),18F,No PCV doses,0,100
Early (May 2010-May 2014),18F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),18F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),35D,No PCV doses,0,100
Early (May 2010-May 2014),35D,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),35D,3+ PCV13 doses,0,708
Early (May 2010-May 2014),24F/24A/24,No PCV doses,0,100
Early (May 2010-May 2014),24F/24A/24,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),24F/24A/24,3+ PCV13 doses,0,708
Early (May 2010-May 2014),24F/A/B,No PCV doses,0,100
Early (May 2010-May 2014),24F/A/B,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),24F/A/B,3+ PCV13 doses,0,708
Early (May 2010-May 2014),35B:35D,No PCV doses,0,100
Early (May 2010-May 2014),35B:35D,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),35B:35D,3+ PCV13 doses,0,708
Early (May 2010-May 2014),NT,No PCV doses,0,100
Early (May 2010-May 2014),NT,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),NT,3+ PCV13 doses,1,708
Late (Jun 2014-Dec 2019),19A,No PCV doses,8,100
Late (Jun 2014-Dec 2019),19A,1-2 PCV13 doses,7,353
Late (Jun 2014-Dec 2019),19A,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),3,No PCV doses,4,100
Late (Jun 2014-Dec 2019),3,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),3,3+ PCV13 doses,21,708
Late (Jun 2014-Dec 2019),7F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),7F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),7F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),19F,No PCV doses,14,100
Late (Jun 2014-Dec 2019),19F,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),19F,3+ PCV13 doses,23,708
Late (Jun 2014-Dec 2019),14,No PCV doses,0,100
Late (Jun 2014-Dec 2019),14,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),14,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),9V,No PCV doses,0,100
Late (Jun 2014-Dec 2019),9V,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),9V,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),18C,No PCV doses,2,100
Late (Jun 2014-Dec 2019),18C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),18C,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),23F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),23F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),23F,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),6B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),6B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),6B,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),6C,No PCV doses,0,100
Late (Jun 2014-Dec 2019),6C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),6C,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),22F,No PCV doses,4,100
Late (Jun 2014-Dec 2019),22F,1-2 PCV13 doses,11,353
Late (Jun 2014-Dec 2019),22F,3+ PCV13 doses,48,708
Late (Jun 2014-Dec 2019),33F,No PCV doses,3,100
Late (Jun 2014-Dec 2019),33F,1-2 PCV13 doses,12,353
Late (Jun 2014-Dec 2019),33F,3+ PCV13 doses,43,708
Late (Jun 2014-Dec 2019),15C,No PCV doses,3,100
Late (Jun 2014-Dec 2019),15C,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),15C,3+ PCV13 doses,41,708
Late (Jun 2014-Dec 2019),35B,No PCV doses,2,100
Late (Jun 2014-Dec 2019),35B,1-2 PCV13 doses,16,353
Late (Jun 2014-Dec 2019),35B,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),15B,No PCV doses,1,100
Late (Jun 2014-Dec 2019),15B,1-2 PCV13 doses,5,353
Late (Jun 2014-Dec 2019),15B,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),38,No PCV doses,0,100
Late (Jun 2014-Dec 2019),38,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),38,3+ PCV13 doses,17,708
Late (Jun 2014-Dec 2019),23B,No PCV doses,6,100
Late (Jun 2014-Dec 2019),23B,1-2 PCV13 doses,9,353
Late (Jun 2014-Dec 2019),23B,3+ PCV13 doses,43,708
Late (Jun 2014-Dec 2019),10A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),10A,1-2 PCV13 doses,7,353
Late (Jun 2014-Dec 2019),10A,3+ PCV13 doses,18,708
Late (Jun 2014-Dec 2019),12F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),12F,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),12F,3+ PCV13 doses,7,708
Late (Jun 2014-Dec 2019),23A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),23A,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),23A,3+ PCV13 doses,10,708
Late (Jun 2014-Dec 2019),15A,No PCV doses,3,100
Late (Jun 2014-Dec 2019),15A,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),15A,3+ PCV13 doses,29,708
Late (Jun 2014-Dec 2019),21,No PCV doses,1,100
Late (Jun 2014-Dec 2019),21,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),21,3+ PCV13 doses,11,708
Late (Jun 2014-Dec 2019),11A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),11A,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),11A,3+ PCV13 doses,6,708
Late (Jun 2014-Dec 2019),35F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35F,1-2 PCV13 doses,5,353
Late (Jun 2014-Dec 2019),35F,3+ PCV13 doses,8,708
Late (Jun 2014-Dec 2019),8,No PCV doses,0,100
Late (Jun 2014-Dec 2019),8,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),8,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),9N,No PCV doses,2,100
Late (Jun 2014-Dec 2019),9N,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),9N,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),16F,No PCV doses,1,100
Late (Jun 2014-Dec 2019),16F,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),16F,3+ PCV13 doses,14,708
Late (Jun 2014-Dec 2019),15B/C,No PCV doses,0,100
Late (Jun 2014-Dec 2019),15B/C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),15B/C,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),7C,No PCV doses,1,100
Late (Jun 2014-Dec 2019),7C,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),7C,3+ PCV13 doses,7,708
Late (Jun 2014-Dec 2019),31,No PCV doses,0,100
Late (Jun 2014-Dec 2019),31,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),31,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),20,No PCV doses,0,100
Late (Jun 2014-Dec 2019),20,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),20,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),17F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),17F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),17F,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),28A,No PCV doses,0,100
Late (Jun 2014-Dec 2019),28A,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),28A,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),34,No PCV doses,0,100
Late (Jun 2014-Dec 2019),34,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),34,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),11B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),11B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),11B,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),10F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),10F,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),10F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),33A,No PCV doses,0,100
Late (Jun 2014-Dec 2019),33A,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),33A,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),15F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),15F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),15F,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),18F,No PCV doses,2,100
Late (Jun 2014-Dec 2019),18F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),18F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),35D,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35D,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),35D,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),24F/24A/24,No PCV doses,0,100
Late (Jun 2014-Dec 2019),24F/24A/24,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),24F/24A/24,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),24F/A/B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),24F/A/B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),24F/A/B,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),35B:35D,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35B:35D,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),35B:35D,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),NT,No PCV doses,0,100
Late (Jun 2014-Dec 2019),NT,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),NT,3+ PCV13 doses,2,708
